,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum,Mean,STD
99,4.0,4.0,3.0,0.0112,64.0,1.0,25.0,4.0,THREAT,None,1.0,0.048600000000000004,0.0870848065359955
100,5.0,5.0,3.0,0.0,64.0,1.0,31.0,5.0,THREAT,None,1.0,0.048600000000000004,0.0870848065359955
101,6.0,6.0,3.0,0.0,64.0,1.0,37.0,6.0,THREAT,None,1.0,0.048600000000000004,0.0870848065359955
102,7.0,7.0,3.0,0.0081,64.0,1.0,43.0,7.0,SAFE,None,1.0,0.048600000000000004,0.0870848065359955
103,8.0,8.0,3.0,0.0,64.0,1.0,49.0,8.0,SAFE,None,1.0,0.048600000000000004,0.0870848065359955
104,9.0,9.0,3.0,0.0163,64.0,1.0,55.0,9.0,SAFE,None,1.0,0.048600000000000004,0.0870848065359955
105,10.0,10.0,3.0,0.0982,64.0,1.0,61.0,10.0,SAFE,None,1.0,0.048600000000000004,0.0870848065359955
106,11.0,11.0,3.0,0.0,64.0,1.0,67.0,11.0,SAFE,None,1.0,0.048600000000000004,0.0870848065359955
107,12.0,12.0,3.0,0.0193,64.0,1.0,73.0,12.0,THREAT,None,1.0,0.048600000000000004,0.0870848065359955
108,13.0,13.0,3.0,0.0066,64.0,1.0,79.0,13.0,THREAT,prior,1.0,0.023755555555555554,0.05145823231711923
109,,,,,,,,,,,,0.023755555555555554,0.05145823231711923
110,15.0,15.0,3.0,0.028999999999999998,64.0,1.0,91.0,13.0,THREAT,post,1.0,0.023755555555555554,0.05145823231711923
111,16.0,16.0,3.0,0.0,64.0,1.0,97.0,14.0,SAFE,None,1.0,0.023755555555555554,0.05145823231711923
112,17.0,17.0,3.0,0.1394,64.0,1.0,103.0,15.0,THREAT,None,1.0,0.023755555555555554,0.05145823231711923
113,18.0,18.0,3.0,0.3443,64.0,1.0,109.0,16.0,SAFE,None,1.0,0.023755555555555554,0.05145823231711923
114,0.0,0.0,3.0,0.0,64.0,2.0,1.0,0.0,SAFE,None,1.0,0.023755555555555554,0.05145823231711923
115,1.0,1.0,3.0,0.0,64.0,2.0,7.0,1.0,THREAT,None,1.0,0.023755555555555554,0.05145823231711923
116,2.0,2.0,3.0,0.0671,64.0,2.0,13.0,2.0,THREAT,None,1.0,0.023755555555555554,0.05145823231711923
