,index,time,GSR,shock,stims,contexts,trls_rec
41350,47379,3.948,-0.1663,0,5,7.0,3550.0
41351,47380,3.948,-0.1709,0,5,7.0,3551.0
41352,47381,3.948,-0.1678,0,5,7.0,3552.0
41353,47382,3.949,-0.1663,0,5,7.0,3553.0
41354,47383,3.949,-0.1678,0,5,7.0,3554.0
41355,47384,3.949,-0.1648,0,5,7.0,3555.0
41356,47385,3.949,-0.1678,0,5,7.0,3556.0
41357,47386,3.949,-0.1709,0,5,7.0,3557.0
41358,47387,3.949,-0.1648,0,5,7.0,3558.0
41359,47388,3.949,-0.1648,0,5,7.0,3559.0
41360,47389,3.949,-0.1663,0,5,7.0,3560.0
41361,47390,3.949,-0.1648,0,5,7.0,3561.0
41362,47391,3.949,-0.1663,0,5,7.0,3562.0
41363,47392,3.949,-0.1678,0,5,7.0,3563.0
41364,47393,3.949,-0.1663,0,5,7.0,3564.0
41365,47394,3.95,-0.1648,0,5,7.0,3565.0
41366,47395,3.95,-0.1694,0,5,7.0,3566.0
41367,47396,3.95,-0.1663,0,5,7.0,3567.0
41368,47397,3.95,-0.1678,0,5,7.0,3568.0
41369,47398,3.95,-0.1663,0,5,7.0,3569.0
41370,47399,3.95,-0.1663,0,5,7.0,3570.0
41371,47400,3.95,-0.1694,0,5,7.0,3571.0
41372,47401,3.95,-0.1678,0,5,7.0,3572.0
41373,47402,3.95,-0.1678,0,5,7.0,3573.0
41374,47403,3.95,-0.1678,0,5,7.0,3574.0
41375,47404,3.95,-0.1663,0,5,7.0,3575.0
41376,47405,3.95,-0.1663,0,5,7.0,3576.0
41377,47406,3.95,-0.1663,0,5,7.0,3577.0
41378,47407,3.951,-0.1663,0,5,7.0,3578.0
41379,47408,3.951,-0.1663,0,5,7.0,3579.0
41380,47409,3.951,-0.1678,0,5,7.0,3580.0
41381,47410,3.951,-0.1648,0,5,7.0,3581.0
41382,47411,3.951,-0.1663,0,5,7.0,3582.0
41383,47412,3.951,-0.1663,0,5,7.0,3583.0
41384,47413,3.951,-0.1694,0,5,7.0,3584.0
41385,47414,3.951,-0.1694,0,5,7.0,3585.0
41386,47415,3.951,-0.1694,0,5,7.0,3586.0
41387,47416,3.951,-0.1694,0,5,7.0,3587.0
41388,47417,3.951,-0.1678,0,5,7.0,3588.0
41389,47418,3.951,-0.1648,0,5,7.0,3589.0
41390,47419,3.952,-0.1709,0,5,7.0,3590.0
41391,47420,3.952,-0.1694,0,5,7.0,3591.0
41392,47421,3.952,-0.1663,0,5,7.0,3592.0
41393,47422,3.952,-0.1663,0,5,7.0,3593.0
41394,47423,3.952,-0.1663,0,5,7.0,3594.0
41395,47424,3.952,-0.1663,0,5,7.0,3595.0
41396,47425,3.952,-0.1663,0,5,7.0,3596.0
41397,47426,3.952,-0.1678,0,5,7.0,3597.0
41398,47427,3.952,-0.1678,0,0,7.0,3598.0
41399,47428,3.952,-0.1648,0,0,7.0,3599.0
41400,47429,3.952,-0.1648,0,0,7.0,3600.0
41401,47430,3.9530000000000003,-0.1694,0,0,7.0,3601.0
41402,47431,3.9530000000000003,-0.1678,0,0,7.0,3602.0
41403,47432,3.9530000000000003,-0.1648,0,0,7.0,3603.0
41404,47433,3.9530000000000003,-0.1663,0,0,7.0,3604.0
41405,47434,3.9530000000000003,-0.1663,0,0,7.0,3605.0
41406,47435,3.9530000000000003,-0.1663,0,0,7.0,3606.0
41407,47436,3.9530000000000003,-0.1678,0,0,7.0,3607.0
41408,47437,3.9530000000000003,-0.1678,0,0,7.0,3608.0
41409,47438,3.9530000000000003,-0.1648,0,0,7.0,3609.0
41410,47439,3.9530000000000003,-0.1663,0,0,7.0,3610.0
41411,47440,3.9530000000000003,-0.1694,0,0,7.0,3611.0
41412,47441,3.9530000000000003,-0.1678,0,0,7.0,3612.0
41413,47442,3.9539999999999997,-0.1678,0,0,7.0,3613.0
41414,47443,3.9539999999999997,-0.1678,0,0,7.0,3614.0
41415,47444,3.9539999999999997,-0.1663,0,0,7.0,3615.0
41416,47445,3.9539999999999997,-0.1678,0,0,7.0,3616.0
41417,47446,3.9539999999999997,-0.1739,0,0,7.0,3617.0
41418,47447,3.9539999999999997,-0.1663,0,0,7.0,3618.0
41419,47448,3.9539999999999997,-0.1663,0,0,7.0,3619.0
41420,47449,3.9539999999999997,-0.1678,0,0,7.0,3620.0
41421,47450,3.9539999999999997,-0.1694,0,0,7.0,3621.0
41422,47451,3.9539999999999997,-0.1663,0,0,7.0,3622.0
41423,47452,3.9539999999999997,-0.1663,0,0,7.0,3623.0
41424,47453,3.9539999999999997,-0.1678,0,0,7.0,3624.0
41425,47454,3.9539999999999997,-0.1678,0,0,7.0,3625.0
41426,47455,3.955,-0.1709,0,0,7.0,3626.0
41427,47456,3.955,-0.1663,0,0,7.0,3627.0
41428,47457,3.955,-0.1694,0,0,7.0,3628.0
41429,47458,3.955,-0.1648,0,0,7.0,3629.0
41430,47459,3.955,-0.1663,0,0,7.0,3630.0
41431,47460,3.955,-0.1678,0,0,7.0,3631.0
41432,47461,3.955,-0.1678,0,0,7.0,3632.0
41433,47462,3.955,-0.1678,0,0,7.0,3633.0
41434,47463,3.955,-0.1678,0,0,7.0,3634.0
41435,47464,3.955,-0.1678,0,0,7.0,3635.0
41436,47465,3.955,-0.1663,0,0,7.0,3636.0
41437,47466,3.955,-0.1678,0,0,7.0,3637.0
41438,47467,3.9560000000000004,-0.1678,0,0,7.0,3638.0
41439,47468,3.9560000000000004,-0.1648,0,0,7.0,3639.0
41440,47469,3.9560000000000004,-0.1678,0,0,7.0,3640.0
41441,47470,3.9560000000000004,-0.1678,0,0,7.0,3641.0
41442,47471,3.9560000000000004,-0.1663,0,0,7.0,3642.0
41443,47472,3.9560000000000004,-0.1648,0,0,7.0,3643.0
41444,47473,3.9560000000000004,-0.1709,0,0,7.0,3644.0
41445,47474,3.9560000000000004,-0.1678,0,0,7.0,3645.0
41446,47475,3.9560000000000004,-0.1648,0,0,7.0,3646.0
41447,47476,3.9560000000000004,-0.1678,0,0,7.0,3647.0
41448,47477,3.9560000000000004,-0.1709,0,0,7.0,3648.0
41449,47478,3.957,-0.1709,0,0,7.0,3649.0
41450,47479,3.957,-0.1678,0,0,7.0,3650.0
41451,47480,3.957,-0.1663,0,0,7.0,3651.0
41452,47481,3.957,-0.1678,0,0,7.0,3652.0
41453,47482,3.957,-0.1663,0,0,7.0,3653.0
41454,47483,3.957,-0.1678,0,0,7.0,3654.0
41455,47484,3.957,-0.1694,0,0,7.0,3655.0
41456,47485,3.957,-0.1663,0,0,7.0,3656.0
41457,47486,3.957,-0.1678,0,0,7.0,3657.0
41458,47487,3.957,-0.1694,0,0,7.0,3658.0
41459,47488,3.957,-0.1648,0,0,7.0,3659.0
41460,47489,3.957,-0.1678,0,0,7.0,3660.0
41461,47490,3.958,-0.1678,0,0,7.0,3661.0
41462,47491,3.958,-0.1678,0,0,7.0,3662.0
41463,47492,3.958,-0.1678,0,0,7.0,3663.0
41464,47493,3.958,-0.1678,0,0,7.0,3664.0
41465,47494,3.958,-0.1663,0,0,7.0,3665.0
41466,47495,3.958,-0.1678,0,0,7.0,3666.0
41467,47496,3.958,-0.1709,0,0,7.0,3667.0
41468,47497,3.958,-0.1678,0,0,7.0,3668.0
41469,47498,3.958,-0.1678,0,0,7.0,3669.0
41470,47499,3.958,-0.1694,0,0,7.0,3670.0
41471,47500,3.958,-0.1694,0,0,7.0,3671.0
41472,47501,3.958,-0.1678,0,0,7.0,3672.0
41473,47502,3.958,-0.1648,0,0,7.0,3673.0
41474,47503,3.9589999999999996,-0.1709,0,0,7.0,3674.0
41475,47504,3.9589999999999996,-0.1663,0,0,7.0,3675.0
41476,47505,3.9589999999999996,-0.1663,0,0,7.0,3676.0
41477,47506,3.9589999999999996,-0.1678,0,0,7.0,3677.0
41478,47507,3.9589999999999996,-0.1709,0,0,7.0,3678.0
41479,47508,3.9589999999999996,-0.1663,0,0,7.0,3679.0
41480,47509,3.9589999999999996,-0.1678,0,0,7.0,3680.0
41481,47510,3.9589999999999996,-0.1663,0,0,7.0,3681.0
41482,47511,3.9589999999999996,-0.1678,0,0,7.0,3682.0
41483,47512,3.9589999999999996,-0.1617,0,0,7.0,3683.0
41484,47513,3.9589999999999996,-0.1694,0,0,7.0,3684.0
41485,47514,3.9589999999999996,-0.1648,0,0,7.0,3685.0
41486,47515,3.96,-0.1663,0,0,7.0,3686.0
41487,47516,3.96,-0.1678,0,0,7.0,3687.0
41488,47517,3.96,-0.1678,0,0,7.0,3688.0
41489,47518,3.96,-0.1678,0,0,7.0,3689.0
41490,47519,3.96,-0.1678,0,0,7.0,3690.0
41491,47520,3.96,-0.1678,0,0,7.0,3691.0
41492,47521,3.96,-0.1663,0,0,7.0,3692.0
41493,47522,3.96,-0.1648,0,0,7.0,3693.0
41494,47523,3.96,-0.1663,0,0,7.0,3694.0
41495,47524,3.96,-0.1678,0,0,7.0,3695.0
41496,47525,3.96,-0.1633,0,0,7.0,3696.0
41497,47526,3.9610000000000003,-0.1694,0,0,7.0,3697.0
41498,47527,3.9610000000000003,-0.1648,0,0,7.0,3698.0
41499,47528,3.9610000000000003,-0.1648,0,0,7.0,3699.0
41500,47529,3.9610000000000003,-0.1633,0,0,7.0,3700.0
41501,47530,3.9610000000000003,-0.1648,0,0,7.0,3701.0
41502,47531,3.9610000000000003,-0.1648,0,0,7.0,3702.0
41503,47532,3.9610000000000003,-0.1648,0,0,7.0,3703.0
41504,47533,3.9610000000000003,-0.1648,0,0,7.0,3704.0
41505,47534,3.9610000000000003,-0.1663,0,0,7.0,3705.0
41506,47535,3.9610000000000003,-0.1633,0,0,7.0,3706.0
41507,47536,3.9610000000000003,-0.1663,0,0,7.0,3707.0
41508,47537,3.9610000000000003,-0.1663,0,0,7.0,3708.0
41509,47538,3.9619999999999997,-0.1663,0,0,7.0,3709.0
41510,47539,3.9619999999999997,-0.1678,0,0,7.0,3710.0
41511,47540,3.9619999999999997,-0.1663,0,0,7.0,3711.0
41512,47541,3.9619999999999997,-0.1663,0,0,7.0,3712.0
41513,47542,3.9619999999999997,-0.1648,0,0,7.0,3713.0
41514,47543,3.9619999999999997,-0.1678,0,0,7.0,3714.0
41515,47544,3.9619999999999997,-0.1678,0,0,7.0,3715.0
41516,47545,3.9619999999999997,-0.1648,0,0,7.0,3716.0
41517,47546,3.9619999999999997,-0.1678,0,0,7.0,3717.0
