,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum
196,6,6,3,0.0,66,1,37,6.0,THREAT,None,1.0
197,7,7,3,0.0,66,1,43,7.0,SAFE,None,1.0
198,8,8,3,0.0127,66,1,49,8.0,SAFE,None,1.0
199,9,9,3,0.0193,66,1,55,9.0,SAFE,None,1.0
200,10,10,3,0.1282,66,1,61,10.0,SAFE,None,1.0
201,11,11,3,0.0,66,1,67,11.0,SAFE,None,1.0
202,12,12,3,0.1139,66,1,73,12.0,THREAT,None,1.0
203,13,13,3,0.0,66,1,79,13.0,THREAT,prior,1.0
205,15,15,3,0.0198,66,1,91,13.0,THREAT,post,1.0
206,16,16,3,0.0,66,1,97,14.0,SAFE,None,1.0
207,17,17,3,0.0,66,1,103,15.0,THREAT,None,1.0
208,18,18,3,0.207,66,1,109,16.0,SAFE,None,1.0
209,0,0,3,0.1841,66,2,1,0.0,SAFE,None,1.0
210,1,1,3,0.0,66,2,7,1.0,THREAT,None,1.0
211,2,2,3,0.0,66,2,13,2.0,THREAT,None,1.0
212,3,3,3,0.0,66,2,19,3.0,THREAT,None,1.0
213,4,4,3,0.0,66,2,25,4.0,SAFE,None,1.0
214,5,5,3,0.0361,66,2,31,5.0,THREAT,None,1.0
215,6,6,3,0.2589,66,2,37,6.0,SAFE,None,1.0
216,7,7,3,0.0188,66,2,43,7.0,THREAT,prior,1.0
218,9,9,3,0.0107,66,2,55,7.0,THREAT,post,1.0
219,10,10,3,0.5702,66,2,61,8.0,SAFE,None,1.0
220,11,11,3,0.0407,66,2,67,9.0,SAFE,None,1.0
221,12,12,3,0.0168,66,2,73,10.0,SAFE,None,1.0
222,13,13,3,0.0214,66,2,79,11.0,SAFE,None,1.0
223,14,14,3,0.0356,66,2,85,12.0,SAFE,None,1.0
224,15,15,3,0.0051,66,2,91,13.0,THREAT,None,1.0
225,16,16,3,0.3128,66,2,97,14.0,THREAT,None,1.0
226,17,17,3,0.0,66,2,103,15.0,THREAT,None,1.0
227,18,18,3,0.3667,66,2,109,16.0,SAFE,None,1.0
228,0,0,3,0.1348,66,3,1,0.0,SAFE,None,1.0
229,1,1,3,0.0458,66,3,7,1.0,SAFE,None,1.0
230,2,2,3,0.1511,66,3,13,2.0,SAFE,None,1.0
231,3,3,3,0.0081,66,3,19,3.0,SAFE,None,1.0
232,4,4,3,0.0168,66,3,25,4.0,SAFE,None,1.0
233,5,5,3,0.0127,66,3,31,5.0,THREAT,None,1.0
234,6,6,3,0.1317,66,3,37,6.0,THREAT,None,1.0
235,7,7,3,0.0336,66,3,43,7.0,THREAT,prior,1.0
237,9,9,3,0.0046,66,3,55,7.0,THREAT,post,1.0
238,10,10,3,0.0524,66,3,61,8.0,THREAT,None,1.0
239,11,11,3,0.207,66,3,67,9.0,THREAT,None,1.0
240,12,12,3,0.086,66,3,73,10.0,SAFE,None,1.0
241,13,13,3,0.0549,66,3,79,11.0,THREAT,None,1.0
242,14,14,3,0.0488,66,3,85,12.0,SAFE,None,1.0
243,15,15,3,0.0264,66,3,91,13.0,THREAT,None,1.0
244,16,16,3,0.0,66,3,97,14.0,SAFE,None,1.0
